UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85227";"ROLO LA SINTETICA ANTIRESPINGO 9CM AT773/9 ATLAS";"";"ATLAS";"UN";4,47;24,00;0,00;107,28;0,00;0,00;0,00;0,00;0,00;7,51;0,00;107,28
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85037";"TRINCHA 315 2  PINTURA RECORTE E ACAB. PLUMATEK AT315/5 ATLAS";"";"ATLAS";"UN";4,64;24,00;0,00;111,36;0,00;0,00;0,00;0,00;0,00;7,80;0,00;111,36
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85225";"ROLO MICROFIBRA RENDEPLUS 23CM 327/23 ATLAS";"";"ATLAS";"UN";8,64;12,00;0,00;103,68;0,00;0,00;0,00;0,00;0,00;7,26;0,00;103,68
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.20029";"ESPATULA AÇO CROMADO 12,7CM 6255/20 ATLAS";"";"ATLAS";"UN";8,69;12,00;0,00;104,28;5,42;0,00;0,00;0,00;0,00;4,17;0,00;109,70
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85034";"TRINCHA 315 3/4  PINTURA RECORTE E ACAB. PLUMATEK AT315/2 ATLAS";"";"ATLAS";"UN";1,97;24,00;0,00;47,28;0,00;0,00;0,00;0,00;0,00;3,31;0,00;47,28
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85033";"TRINCHA 315 1/2  PINTURA RECORTE E ACAB. PLUMATEK AT315/1 ATLAS";"";"ATLAS";"UN";1,67;24,00;0,00;40,08;0,00;0,00;0,00;0,00;0,00;2,81;0,00;40,08
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.84428";"ESPATULA AÇO CROMADO 15CM AT6255/21 ATLAS";"";"ATLAS";"UN";11,13;12,00;0,00;133,56;6,95;0,00;0,00;0,00;0,00;5,34;0,00;140,51
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84438";"BANDEJA P/ PINTURA DE PLASTICO PRETA 2,7L 1523P ATLAS";"";"ATLAS";"UN";4,80;36,00;0,00;172,80;16,85;0,00;0,00;0,00;0,00;12,10;0,00;189,65
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.85066";"CACAMBA P/ PINTURA PLASTICA PRETA 10L 610P ATLAS";"";"ATLAS";"UN";13,87;12,00;0,00;166,44;16,23;0,00;0,00;0,00;0,00;11,65;0,00;182,67
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"020040.85486";"DISCO ABRASIVO TELADO 225MM 150 AT14/150 ATLAS";"FL";"ATLAS";"DC";4,15;50,00;0,00;207,50;0,00;0,00;0,00;0,00;0,00;8,30;0,00;207,50
