UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020017.21721";"LIQUIDO DE MASCARAMENTO 5L WANDA-20,56-ST";"";"WANDA";"UN";19,92;12,00;0,00;239,09;0,00;0,00;6,56;0,00;0,00;0,00;0,00;241,48
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09890";"WANDABASE MM 2565 VERDE AZULADO TR. 0,9L-21,46-ST";"";"WANDA";"UN";74,50;16,00;0,00;1.192,04;39,13;0,00;32,73;0,00;0,00;0,00;0,00;1.243,09
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09901";"WANDABASE MM 2911 PEROLA BRANCA PRATEADA 0,9L-21,46-ST";"";"WANDA";"UN";142,45;16,00;0,00;2.279,21;74,82;0,00;62,57;0,00;0,00;0,00;0,00;2.376,82
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09898";"WANDABASE MM 2800 PRETO PROFUNDO 0,9L-21,45-ST";"";"WANDA";"UN";77,08;16,00;0,00;1.233,28;40,48;0,00;33,86;0,00;0,00;0,00;0,00;1.286,09
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09904";"WANDABASE MM 2925 PEROLA VERMELHA ESPECIAL 0,9L-21,45-ST";"";"WANDA";"UN";71,31;6,00;0,00;427,83;14,04;0,00;11,75;0,00;0,00;0,00;0,00;446,15
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09885";"WANDABASE MM 2435 AMARELO ALARANJADO TRANSPARENTE  0,9L-21,46-ST";"";"WANDA";"UN";82,25;10,00;0,00;822,51;27,00;0,00;22,59;0,00;0,00;0,00;0,00;857,74
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09882";"WANDABASE MM 2276 ROSA TR. II 0,9L-21,46-ST";"";"WANDA";"UN";106,05;12,00;0,00;1.272,60;41,77;0,00;34,94;0,00;0,00;0,00;0,00;1.327,10
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09907";"WANDABASE MM 2963 PEROLA AZUL ESPECIAL 0,9L-21,46-ST";"";"WANDA";"UN";123,34;12,00;0,00;1.480,07;48,58;0,00;40,63;0,00;0,00;0,00;0,00;1.543,45
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09863";"WANDABASE MM 2003 ALUMINIO GRAUDO 0,9L-21,45-ST";"";"WANDA";"UN";55,52;8,00;0,00;444,14;14,58;0,00;12,19;0,00;0,00;0,00;0,00;463,16
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.20423";"WANDABASE MM 2968 AZUL EFFECT COLOR 0,9L-21,46-ST";"";"WANDA";"UN";236,99;10,00;0,00;2.369,85;77,79;0,00;65,06;0,00;0,00;0,00;0,00;2.471,34
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09894";"WANDABASE MM 2670 AZUL PURPURA TRANSPARENTE 3,6L-21,46-ST";"";"WANDA";"UN";197,21;10,00;0,00;1.972,11;64,73;0,00;54,14;0,00;0,00;0,00;0,00;2.056,56
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09878";"WANDABASE MM 2246 LARANJA II 0,9L-21,46-ST";"";"WANDA";"UN";84,99;4,00;0,00;339,97;11,16;0,00;9,33;0,00;0,00;0,00;0,00;354,53
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09876";"WANDABASE MM 2236 VERMELHO LIMPO 3,6L-21,46-ST";"";"WANDA";"UN";250,03;8,00;0,00;2.000,23;65,66;0,00;54,91;0,00;0,00;0,00;0,00;2.085,89
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020003.09785";"KIT PU BRANCO SUMMIT GM 2011 900ML WANDA";"";"WANDA";"UN";40,88;6,00;0,00;245,29;8,05;0,00;6,73;0,00;0,00;17,34;0,00;255,79
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09860";"WANDABASE MM 2000 BINDER 18L-21,45-ST";"";"WANDA";"UN";506,21;12,00;0,00;6.074,56;199,40;0,00;166,78;0,00;0,00;0,00;0,00;6.334,71
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09908";"WANDABASE MM 2964 PEROLA AZUL 0,9L-21,46-ST";"";"WANDA";"UN";117,95;12,00;0,00;1.415,37;46,46;0,00;38,85;0,00;0,00;0,00;0,00;1.475,98
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09888";"WANDABASE MM 2457 AMARELO BRILHANTE 0,9L-21,45-ST";"";"WANDA";"UN";77,42;6,00;0,00;464,55;15,25;0,00;12,76;0,00;0,00;0,00;0,00;484,45
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09892";"WANDABASE MM 2654 AZUL BETA 0,9L-21,45-ST";"";"WANDA";"UN";61,06;6,00;0,00;366,36;12,03;0,00;10,05;0,00;0,00;0,00;0,00;382,05
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020003.21842";"KIT PU BRANCO PURO 900ML WANDA";"";"WANDA";"UN";41,34;6,00;0,00;248,05;8,14;0,00;6,81;0,00;0,00;17,54;0,00;258,67
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09869";"WANDABASE MM 2009 ALUMINIO EXTRA FINO 0,9L-21,46-ST";"";"WANDA";"UN";48,83;6,00;0,00;292,98;9,62;0,00;8,04;0,00;0,00;0,00;0,00;305,53
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09886";"WANDABASE MM 2455 AMARELO ESVERDEADO TR. 0,9L-21,67-ST";"";"WANDA";"UN";89,04;6,00;0,00;534,26;17,54;0,00;14,66;0,00;0,00;0,00;0,00;557,14
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020003.22644";"KIT PU PRETO VULCANO FIAT 99 900ML WANDA";"";"WANDA";"UN";37,93;6,00;0,00;227,60;7,47;0,00;6,25;0,00;0,00;16,09;0,00;237,35
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23027";"AUTOCOAT BT 100 MM 00 - FOSQUEANTE 3,75L";"";"WANDA";"UN";198,87;2,00;0,00;397,73;13,06;0,00;10,92;0,00;0,00;0,00;0,00;414,77
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020003.23654";"KIT PU PRETO EBONY FORD 98 900ML WANDA";"";"WANDA";"UN";41,84;6,00;0,00;251,05;8,24;0,00;6,89;0,00;0,00;0,00;0,00;261,80
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.20424";"WANDABASE MM 2926 VERMELHO EFFECT COLOR 0,9L-21,45-ST";"";"WANDA";"UN";218,55;2,00;0,00;437,10;14,35;0,00;12,00;0,00;0,00;0,00;0,00;455,82
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09877";"WANDABASE MM 2244 VERMELHO OXIDO TR. 3,6L-21,46-ST";"";"WANDA";"UN";202,62;4,00;0,00;810,46;26,60;0,00;22,25;0,00;0,00;0,00;0,00;845,16
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09871";"WANDABASE MM 2102 BRANCO TR. II 0,9L-21,46-ST";"";"WANDA";"UN";113,30;4,00;0,00;453,18;14,88;0,00;12,44;0,00;0,00;0,00;0,00;472,59
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09867";"WANDABASE MM 2007 ALUMINIO MEDIO II 3,6L-21,46-ST";"";"WANDA";"UN";157,58;4,00;0,00;630,31;20,69;0,00;17,30;0,00;0,00;0,00;0,00;657,30
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.20312";"WANDABASE MM 2000 BINDER 3,6L-21,67-ST";"";"WANDA";"UN";105,75;8,00;0,00;846,04;27,77;0,00;23,23;0,00;0,00;0,00;0,00;882,27
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09875";"WANDABASE MM 2233 VERMELHO OXIDO 0,9L-21,67-ST";"";"WANDA";"UN";88,09;4,00;0,00;352,37;11,57;0,00;9,67;0,00;0,00;0,00;0,00;367,46
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09903";"WANDABASE MM 2924 PEROLA VERMELHA 0,9L-21,46-ST";"";"WANDA";"UN";143,26;4,00;0,00;573,04;18,81;0,00;15,73;0,00;0,00;0,00;0,00;597,58
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09873";"WANDABASE MM 2203 VERMELHO VINHO TR. 3,6L-21,67-ST";"";"WANDA";"UN";458,81;4,00;0,00;1.835,23;60,24;0,00;50,38;0,00;0,00;0,00;0,00;1.913,82
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.21254";"WANDABASE MM 2624 AZUL RUBIN TR. II 3,6L-21,45-ST";"";"WANDA";"UN";192,98;6,00;0,00;1.157,87;38,01;0,00;31,79;0,00;0,00;0,00;0,00;1.207,46
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09897";"WANDABASE MM 2723 VIOLETA AVERMELHADO TR. II 3,6L-21,46-ST";"";"WANDA";"UN";239,14;4,00;0,00;956,56;31,40;0,00;26,27;0,00;0,00;0,00;0,00;997,53
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09906";"WANDABASE MM 2952 PEROLA VERDE 0,9L-21,67-ST";"";"WANDA";"UN";145,09;4,00;0,00;580,37;19,05;0,00;15,93;0,00;0,00;0,00;0,00;605,22
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09909";"WANDABASE MM 2975 PEROLA LILAS 0,9L-21,46-ST";"";"WANDA";"UN";142,45;8,00;0,00;1.139,61;37,41;0,00;31,29;0,00;0,00;0,00;0,00;1.188,42
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09874";"WANDABASE MM 2232 VERMELHO ALARANJADO TRANSPARENTE 0,9L-21,67-ST";"";"WANDA";"UN";133,62;4,00;0,00;534,47;17,54;0,00;14,67;0,00;0,00;0,00;0,00;557,35
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09865";"WANDABASE MM 2005 ALUMINIO DOURADO 0,9L-21,67-ST";"";"WANDA";"UN";189,22;6,00;0,00;1.135,34;37,27;0,00;31,17;0,00;0,00;0,00;0,00;1.183,96
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09905";"WANDABASE MM 2942 PEROLA DOURADA 0,9L-21,67-ST";"";"WANDA";"UN";110,33;4,00;0,00;441,33;14,49;0,00;12,11;0,00;0,00;0,00;0,00;460,23
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09887";"WANDABASE MM 2456 AMARELO ESVERDEADO 0,9L-21,45-ST";"";"WANDA";"UN";103,98;4,00;0,00;415,94;13,65;0,00;11,42;0,00;0,00;0,00;0,00;433,75
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.20192";"WANDABASE MM 2941 PEROLA DOURADA MEDIA 0,9L-21,46-ST";"";"WANDA";"UN";184,39;4,00;0,00;737,55;24,21;0,00;20,25;0,00;0,00;0,00;0,00;769,14
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23007";"AUTOCOAT BT 100 MM 28 - VERMELHO LIMPO 3,75L";"";"WANDA";"UN";270,15;8,00;0,00;2.161,23;70,94;0,00;59,33;0,00;0,00;0,00;0,00;2.253,78
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23005";"AUTOCOAT BT 100 MM 19 - PRETO ESPECIAL 3,75L";"";"WANDA";"UN";210,37;4,00;0,00;841,46;27,62;0,00;23,10;0,00;0,00;0,00;0,00;877,49
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020033.22640";"AUTOCOAT BT TECHFLEET MM 9006 BINDER LACA NITRO 18L-21,94-STA";"";"TECH FLEET";"UN";630,03;2,00;0,00;1.260,07;41,36;0,00;34,59;0,00;0,00;0,00;0,00;1.314,03
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.23392";"WANDABASE MM 3210 BRANCO LIMPO 3,6L-21,67-ST";"";"WANDA";"UN";185,34;2,00;0,00;370,69;12,17;0,00;10,18;0,00;0,00;0,00;0,00;386,57
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.83843";"WANDABASE MM 2850 PRETO AZULADO 3,6L-21,46-ST";"";"WANDA";"UN";139,34;2,00;0,00;278,69;9,15;0,00;7,65;0,00;0,00;0,00;0,00;290,63
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.23398";"WANDABASE MM 1991 CONTROLE DE EFEITO METALICO 0,9 L-21,67-ST";"";"WANDA";"UN";60,42;8,00;0,00;483,38;31,73;0,00;13,27;0,00;0,00;0,00;0,00;519,94
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020033.00243";"AUTOCOAT BT TECHFLEET MM 9007 BINDER LACA FOSCO 3,600ML-21,94-ST";"";"TECH FLEET";"UN";125,30;2,00;0,00;250,60;8,23;0,00;6,88;0,00;0,00;0,00;0,00;261,34
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09889";"WANDABASE MM 2545 VERDE AMARELADO TR. 3,6L-21,67-ST";"";"WANDA";"UN";350,77;2,00;0,00;701,55;23,03;0,00;19,26;0,00;0,00;0,00;0,00;731,60
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23013";"AUTOCOAT BT 100 MM 45 - AMARELO BRILHANTE 3,75L";"";"WANDA";"UN";603,00;2,00;0,00;1.206,00;39,59;0,00;33,11;0,00;0,00;0,00;0,00;1.257,65
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.20193";"WANDABASE MM 2954 PEROLA VERDE MEDIA 0,9L-21,67-ST";"";"WANDA";"UN";139,31;6,00;0,00;835,87;27,44;0,00;22,95;0,00;0,00;0,00;0,00;871,67
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.22422";"WANDABASE MM 2947 DOURADO EFFECT COLOR 0,9L-21,67-ST";"";"WANDA";"UN";257,25;4,00;0,00;1.028,99;33,78;0,00;28,25;0,00;0,00;0,00;0,00;1.073,06
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020033.22635";"Autocoat BT Techfleet MM 7300 Laranja 3.6L-21,94-ST";"";"TECH FLEET";"UN";434,67;2,00;0,00;869,33;28,54;0,00;23,86;0,00;0,00;0,00;0,00;906,56
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020031.09872";"WANDABASE MM 2200 MARROM TR. 0,9L-21,67-ST";"";"WANDA";"UN";81,41;2,00;0,00;162,81;5,34;0,00;4,47;0,00;0,00;0,00;0,00;169,78
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23012";"AUTOCOAT BT 100 MM 43 - AMARELO AVERMELHADO 3,75L-21,94-ST";"";"WANDA";"UN";533,54;2,00;0,00;1.067,09;35,03;0,00;29,29;0,00;0,00;0,00;0,00;1.112,79
"000000502581-NF-009";"00000034 - AKZO NOBEL LTDA";23/05/2026;"020032.23019";"AUTOCOAT BT 100 MM 76 - VIOLETA 3,75L";"";"WANDA";"UN";656,16;2,00;0,00;1.312,33;43,08;0,00;36,03;0,00;0,00;92,78;0,00;1.368,53
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23373";"BP AZUL BUZIOS FIAT 2000 900ML WANDA-21,45-ST";"";"WANDA";"UN";25,10;12,00;0,00;301,23;9,89;0,00;10,24;0,00;0,00;0,00;0,00;314,13
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23375";"BP BRANCO ARTICO FORD 1998 900ML WANDA-21,94-ST";"";"WANDA";"UN";31,62;12,00;0,00;379,45;12,46;0,00;12,90;0,00;0,00;0,00;0,00;395,70
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21008";"BP BRANCO BANCHISA FIAT 1996 900ML WANDA-21,46-ST";"";"WANDA";"UN";31,89;24,00;0,00;765,35;25,12;0,00;26,02;0,00;0,00;0,00;0,00;798,12
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.22955";"BP BRANCO CRISTAL VW 1997 900ML WANDA-21,67-ST";"";"WANDA";"UN";31,95;54,00;0,00;1.725,42;56,64;0,00;58,67;0,00;0,00;0,00;0,00;1.799,31
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.84929";"BP BRANCO GLACIER RENAULT 2000 900ML WANDA-21,94-ST";"";"WANDA";"UN";31,68;24,00;0,00;760,39;24,96;0,00;25,85;0,00;0,00;0,00;0,00;792,95
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.83951";"BP BRANCO REGENTE/POLAR TOYOTA 2016 900ML WANDA-21,93-ST";"";"WANDA";"UN";31,50;12,00;0,00;377,96;12,41;0,00;12,85;0,00;0,00;0,00;0,00;394,15
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23377";"BP BRANCO SUMMIT GM 2012 900ML WANDA-21,67-ST";"";"WANDA";"UN";32,26;48,00;0,00;1.548,60;50,83;0,00;52,67;0,00;0,00;0,00;0,00;1.614,92
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.84709";"BP BRANCO TAFFETA HONDA 2003 0,9L ST - 21,46";"";"WANDA";"UN";31,54;6,00;0,00;189,22;6,21;0,00;6,43;0,00;0,00;0,00;0,00;197,32
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.83952";"BP CINZA CROMO MET FIAT 2007 900ML WANDA-21,93-ST";"";"WANDA";"UN";23,96;12,00;0,00;287,57;9,44;0,00;9,78;0,00;0,00;0,00;0,00;299,89
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.83953";"BP CINZA GRAPHITE MET GM 2015 900ML WANDA-21,93-ST";"";"WANDA";"UN";24,71;6,00;0,00;148,25;4,87;0,00;5,04;0,00;0,00;0,00;0,00;154,60
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85549";"BP CINZA PLATINUM METÁLICO VW 2012/2020 900ML";"";"WANDA";"UN";33,17;12,00;0,00;398,04;13,07;0,00;13,54;0,00;0,00;0,00;0,00;415,09
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23357";"BP CINZA SCANDIUM MET FIAT 2003 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,83;24,00;0,00;619,84;20,35;0,00;21,08;0,00;0,00;0,00;0,00;646,39
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21302";"BP CINZA STEEL MET FIAT 1996 900ML WANDA-21,46-ST";"";"WANDA";"UN";26,47;12,00;0,00;317,62;10,43;0,00;10,80;0,00;0,00;0,00;0,00;331,23
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85550";"BP CINZA TITANIUM METÁLICO HYUNDAI 900ML WANDA";"";"WANDA";"UN";28,71;12,00;0,00;344,50;11,31;0,00;11,72;0,00;0,00;0,00;0,00;359,26
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.87044";"BP CINZA URANO VW 2001 900ML WANDA";"";"WANDA";"UN";24,09;6,00;0,00;144,53;4,74;0,00;4,93;0,00;0,00;0,00;0,00;150,72
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23358";"BP CINZA VULCAN METALICA VW 2008 900ML WANDA-21,46-ST";"";"WANDA";"UN";24,94;12,00;0,00;299,24;9,82;0,00;10,17;0,00;0,00;0,00;0,00;312,05
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85551";"BP GRAY ACIER METÁLICO RENAULT 2008/2016 900ML WANDA";"";"WANDA";"UN";29,84;6,00;0,00;179,02;5,88;0,00;6,09;0,00;0,00;0,00;0,00;186,69
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21290";"BP GRIS ALUMINIUM MET PEUGEOT 2001 900ML WANDA-21,46-ST";"";"WANDA";"UN";26,39;12,00;0,00;316,62;10,39;0,00;10,77;0,00;0,00;0,00;0,00;330,18
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21281";"BP PRATA BARI MET FIAT 2002 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,00;18,00;0,00;449,98;14,77;0,00;15,30;0,00;0,00;0,00;0,00;469,25
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85552";"BP PRATA BILLET METÁLICO FIAT 2012/2023 900ML WANDA";"";"WANDA";"UN";32,99;6,00;0,00;197,94;6,50;0,00;6,73;0,00;0,00;0,00;0,00;206,42
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23359";"BP PRATA DUBLIN FRD 2010 900ML WANDA-21,46-ST";"";"WANDA";"UN";27,90;12,00;0,00;334,75;10,99;0,00;11,39;0,00;0,00;0,00;0,00;349,09
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23382";"BP PRATA ETOILLE RENAULT 2007 900ML WANDA-21,67-ST";"";"WANDA";"UN";26,36;24,00;0,00;632,74;20,77;0,00;21,52;0,00;0,00;0,00;0,00;659,84
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21289";"BP PRATA GLOBAL MET HONDA 2005 900ML WANDA-21,67-ST";"";"WANDA";"UN";27,27;12,00;0,00;327,30;10,74;0,00;11,13;0,00;0,00;0,00;0,00;341,31
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21017";"BP PRATA LIGHT MET VW 2003 900ML WANDA-21,45-ST";"";"WANDA";"UN";25,35;6,00;0,00;152,10;4,99;0,00;5,17;0,00;0,00;0,00;0,00;158,61
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21271";"BP PRATA LUNAR MET VW 1990 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,23;24,00;0,00;605,43;19,87;0,00;20,58;0,00;0,00;0,00;0,00;631,35
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85553";"BP PRATA PLATINUM METÁLICO HON 2016/2020 900ML WANDA";"";"WANDA";"UN";29,47;6,00;0,00;176,82;5,80;0,00;6,01;0,00;0,00;0,00;0,00;184,39
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.22954";"BP PRATA POLARIS METALICO GM 2004 900ML WANDA-21,67-ST";"";"WANDA";"UN";23,94;18,00;0,00;430,97;14,15;0,00;14,66;0,00;0,00;0,00;0,00;449,43
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23361";"BP PRATA SIRIUS MET VW 2009 900ML WANDA-21,67-ST";"";"WANDA";"UN";27,03;30,00;0,00;810,81;26,61;0,00;27,57;0,00;0,00;0,00;0,00;845,53
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85554";"BP PRATA SOUL 1H6 METÁLICO TOYOTA 2012/2016 900ML WANDA";"";"WANDA";"UN";30,27;6,00;0,00;181,64;5,96;0,00;6,18;0,00;0,00;0,00;0,00;189,42
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.22225";"BP PRATA SUPERNOVA MET TOYOTA 2003 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,45;12,00;0,00;305,45;10,03;0,00;10,38;0,00;0,00;0,00;0,00;318,53
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23360";"BP PRATA SWITCHBLADE MET GM 2009 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,85;24,00;0,00;620,34;20,36;0,00;21,09;0,00;0,00;0,00;0,00;646,90
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85555";"BP PRETO BRISTOL METÁLICO FORD 2009/2016 900ML WANDA";"";"WANDA";"UN";29,14;6,00;0,00;174,82;5,74;0,00;5,95;0,00;0,00;0,00;0,00;182,31
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85556";"BP PRETO CARBON FLASH METÁLICO GM 2008/2016 900ML WANDA";"";"WANDA";"UN";27,88;6,00;0,00;167,28;5,49;0,00;5,69;0,00;0,00;0,00;0,00;174,44
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21287";"BP PRETO EBONY FORD 1998 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,39;12,00;0,00;304,70;10,00;0,00;10,36;0,00;0,00;0,00;0,00;317,75
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.21272";"BP PRETO LIZST GM 1994 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,25;6,00;0,00;151,49;4,97;0,00;5,15;0,00;0,00;0,00;0,00;157,97
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.23362";"BP PRETO NINJA VW 1999 900ML WANDA-21,67-ST";"";"WANDA";"UN";27,38;60,00;0,00;1.642,71;53,92;0,00;55,86;0,00;0,00;0,00;0,00;1.713,06
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85089";"BP PRETO OURO NEGRO GM 2016 900ML WANDA-21,67-ST";"";"WANDA";"UN";25,12;12,00;0,00;301,48;9,90;0,00;10,25;0,00;0,00;0,00;0,00;314,39
"000000502592-NF-009";"00000034 - AKZO NOBEL LTDA";25/05/2026;"020002.85557";"BP PRETO PREMIUM NISSAN 900ML  WANDA";"";"WANDA";"UN";32,06;6,00;0,00;192,35;6,31;0,00;6,54;0,00;0,00;0,00;0,00;200,58
