UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000026";"TESA BRASIL LTDA";"RUA  JOÃO GUALBERTO 1259 CONJ.";"ALTO DA GLORIA";"CURITIBA";"PR";" ";"80030001";"";"04480645000120";"9024913845";" ";"SUENE";18/04/2007;"41 30218100";"41 30218110"
"00000027";"TIRADENTES MEDICO HOSPITALAR LTDA";"SOPI CONJ B LOTE";"NUCLEO BANDEIRANTE";"BRASILIA";"DF";" ";"72000000";"";"01536135000210";"0732624200291";" ";"IVONEIDE";18/04/2007;"61 32251020";""
"00000028";"MOACIR RHODEN P DA COSTA ME";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";13/02/2012;"";""
"00000029";"MAXI RUBBER INDUSTRIAS QUIMICAS LTDA";"AVENIDA LUIGI PAPAIZ,843/843";"JD DAS NACOES";"DIADEMA";"SP";" ";"09931610";"";"00283822000127";"286126161117";" ";"CESAR";18/04/2007;"11 40927777";"11 40927778"
"00000030";"AUTOAMERICA IMP.EXP. DE PROD. AUTO. LTDA";"RUA SHIRLEI BOEIRA SOUTO,";"CJ. IND. MAUA";"COLOMBO";"PR";" ";"83413740";"";"04140399000167";"9022302202";" ";"FELIX";18/04/2007;"41 32628191";"41 32628161"
"00000031";"REPINTURA E REPARACAO AUTOMOTI";"RUA GOMES DE CARVALHO, Nº";"VILA OLIMPIA";"SÃO PAULO";"SP";" ";"04547003";"";"00283822000399";"117102248112";" ";"";18/04/2007;"11 08007078";""
"00000032";"LIDER DISTRIBUIDORA CENTRO OESTE LTDA";"SIA TRECHO 2 LOTE";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"04660615000103";"0742610500139";" ";"MARCELO";19/04/2007;"61 34336900";"61 34336920"
"00000033";"SIGEL ESTOPAS SOC IND GOIANA";"RUA 38 NUMERO";"SETOR SANTOS DUMONT";"GOIÂNIA";"GO";" ";"74463750";"";"16005910000105";"101859503";" ";"APARECIDO";22/05/2007;"62 32971047";"62 32977682"
"00000034";"AKZO NOBEL LTDA";"RUA ASSUMPTA SABATINI ROSSI 1650 PORTAO A";"BATISTINI";"SÃO BERNARDO DO CAMPO";"SP";" ";"09842000";"";"60561719002258";"635072704119";" ";"PEDRO";19/06/2007;"11 11454359";""
"00000035";"SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA";"RODOVIA ANHANGUERA, KM 106,8 UNIDADE E";"NOVA VENEZA";"SUMARÉ";"SP";" ";"13170970";"";"60872306000836";"188115885110";" ";"";20/06/2007;"80 07023569";"11 47885225"
"00000036";"3M DO BRASIL LTDA";"VIA ANHANGUERA, KM";"JARDIM MANCHEST";"SUMARÉ";"SP";" ";"13181900";"";"45985371000108";"671000090114";" ";"GUTO";27/06/2007;"19 38387485";"90800136363"
"00000037";"JOHNSON";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";29/06/2007;"";""
"00000038";"SAGOL PRODUTOS AUTOMOTIVOS LTDA";"AV. BERLIM N 1253 QD 79 LTS 04/05";"JARDIM EUROPA";"GOIÂNIA";"GO";" ";"74330010";"";"00319813000220";"103817980";" ";"";29/06/2007;"62 32365500";"62"
"00000039";"U.SEAL 500";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";30/06/2007;"";""
"00000040";"UNIFORT LTDA";"AV. AMAZONAS, 4.333";"CACHOIERA";"BETIM";"MG";" ";"32610360";"";"41916347000166";"1867997730039";" ";"";23/07/2007;"31 21915500";""
"00000041";"WURTH DO BRASIL PECAS DE FIXACAO LTDA";"RUA ADOLF WURTH  557-JD SAO VICENTE";"COTIA";"SÃO PAULO";"SP";" ";"06713250";"";"43648971000155";"278024442113";" ";"";30/07/2007;"11 46131900";""
"00000042";"RICAQUIMICA IND. E COM. DE PRODUTOS QUIMICOS LTDA";"RUA MARIA SOLDEIRA LOURENÇON";"SANTA JULIA";"ITUPEVA";"SP";" ";"13295000";"";"06003608000156";"388074188118";" ";"";24/10/2007;"11 45918740";"11 44963994"
"00000043";"J.PROLAB IND. E COM. DE PRODUTOS PARA LABORATORIO";"Avenida Rocha Pombo";"Águas Belas";"SÃO JOSÉ DOS PINHAIS";"PR";" ";"83010620";"";"80392434000113";"";" ";"";25/01/2008;"41 32998800";""
"00000044";"NOVA DISTRIBUIDORA DE FERRAGENS LTDA";"AV.CENTRAL S/N QD AREA LT 3 SETOR EMPRESARIAL";"FAZENDA CAVEIRAS";"GOIÂNIA";"GO";" ";"74583350";"";"02595626000113";"103057609";" ";"";18/01/2008;"62 32217700";"26296119803"
"00000045";"RAPIDO TRANSPAULO LTDA";"ADE CONJ 02/03/13/14";"ADE";"NUCLEO BANDEIRANTE";"DF";" ";"71735720";"";"88317847000498";"0744987600261";" ";"";07/02/2011;"61 33997086";""
"00000046";"CONDOR ATACADISTA LTDA";"SIA TRECHO 02 LOTES 1650 A 1700 PARTE A";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"03261204000174";"0740510600208";" ";"JADSON";08/02/2008;"61 21078800";""
