Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
86862;CORANTE LIQUIDO XADREZ LARANJA 50ML;31106178;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86865;CORANTE LIQUIDO XADREZ MARROM 50ML;31106778;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86864;CORANTE LIQUIDO XADREZ OCRE 50ML;31106478;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86866;CORANTE LIQUIDO XADREZ PRETO 50ML;31107178;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86867;CORANTE LIQUIDO XADREZ VERDE 50ML;31108178;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86868;CORANTE LIQUIDO XADREZ VERMELHO 50ML;31109378;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
86869;CORANTE LIQUIDO XADREZ VIOLETA 50ML;31109978;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;30008;CORANTES
22065;CORREIA CUBII 36+;HB004378509;4;3M;36;3M DO BRASIL LTDA;20007;DISCOS / LIXAS / ABRASIVOS 
22063;CORREIA CUBII 60+;HB004378517;4;3M;36;3M DO BRASIL LTDA;20007;DISCOS / LIXAS / ABRASIVOS 
22064;CORREIA CUBII 80+;HB004378525;4;3M;36;3M DO BRASIL LTDA;20007;DISCOS / LIXAS / ABRASIVOS 
23576;CORRETIVO LIQUIDO 18ML;40974;31;UTILER;522;DJF Comercial de Papelaria Ltda. - ME;999999;GRUPO CONVERSAO
85859;CR AGUARRAS INCOLOR 5L;5203220;800073;CORAL;34;AKZO NOBEL LTDA;30013;AGUARRAS
85860;CR AGUARRAS INCOLOR 900ML;5203222;800073;CORAL;34;AKZO NOBEL LTDA;30013;AGUARRAS
